ticker,observed_delist_date,cik,wrong_cik,member_name,last_trade_close,expected_bucket,expected_dlret,dlret_tol,expected_flags,verified,note
UTIW,2016-02-01,1124827,,UTI WORLDWIDE INC,7.09,merger,0.00141044,0.001,,edgar:1124827 8-K 0001341004-16-001043; DEFM14A 0001193125-15-395426,DSV $7.10 cash per ordinary share (closed 2016-01-22)
KCI,2012-11-12,831967,,KINETIC CONCEPTS INC,68.47,merger,0.000438148,0.001,frozen_tail,edgar:831967 8-K 0001193125-11-306860; 25-NSE 2011-11-08,Apax $68.50 cash closed 2011-11-04; vendor tail to 2012-11-12
XTO,2013-02-07,868809,,XTO ENERGY INC,41.81,merger,,,frozen_tail,edgar:868809 8-K 0000950103-10-001867; 25-NSE 2010-06-28,ExxonMobil all-stock (0.7098 XOM) closed 2010-06-25; vendor tail to 2013; this CIK files nothing 2010-07-08 to 2020
VSTO,2024-11-27,1616318,,VISTA OUTDOOR INC,44.63,merger,,,,edgar:1616318 8-K 0001616318-24-000122,CSG closing: $25.75 cash + 1 Revelyst share; the 1.03 tag has no Item 1.03 section and no bankruptcy text
LBRDA,2026-08-21,1611983,,LIBERTY BROADBAND CORP SERIES A,35.99,merger,,,,edgar:1611983 8-K 0001140361-26-033932; 25-NSE 2026-08-20,Charter merger closed 2026-08-19: 0.236 CHTR Class A per share (all stock)
LBRDK,2026-08-21,1611983,,LIBERTY BROADBAND CORP SERIES C,36.02,merger,,,,edgar:1611983 8-K 0001140361-26-033932; 25-NSE 2026-08-20,same event as LBRDA (Series C also 0.236 CHTR)
AABA,2019-11-06,1011006,,ALTABA INC,19.63,unknown,0.0,0.0001,no_evidence_default,edgar:1011006 8-K 0001193125-19-262790; 25-NSE 2019-10-07,solvent fund: plan of complete liquidation and dissolution (2019-10-04); no bankruptcy or deficiency
FST,2022-08-25,1815737,,FOREST OIL CORP,10.18,expiration,0.0,0.0001,spac;member_name_mismatch,edgar:1815737 8-K 0001213900-22-046514,FAST Acquisition Corp redeems all Class A shares 2022-08-26 (no business combination)
BWC,2023-08-11,1854863,,BABCOCK AND WILCOX,10.15,expiration,0.0,0.0001,spac;member_name_mismatch,edgar:1854863 8-K 0001193125-23-197713,Blue Whale Acquisition Corp I redeems all public shares (no business combination by 2023-08-06)
HMA,2023-07-25,1850529,,HEALTH MANAGEMENT ASSOCIATES INC C,10.54,expiration,0.0,0.0001,spac;member_name_mismatch,edgar:1850529 8-K 0001140361-23-035928,Heartland Media Acquisition Corp redeems all Class A shares 2023-08-08
LEAP,2022-08-16,1818346,,LEAP WIRELESS INTL INC,10.02,expiration,0.0,0.0001,spac;member_name_mismatch,edgar:1818346 8-K 0001104659-22-085390,Ribbit LEAP redeems all Class A shares 2022-08-15
HLTH,2019-09-10,1409916,,HLTH CORP,0.12,liquidation,,,member_name_mismatch,edgar:1409916 8-K 0001409916-19-000042 (3.01); 8-K 0001409916-19-000051 (1.03),Nobilis Health: NYSE American delisting for failure to file (3.01 2019-09-09); liquidation because the state-court receivership (1.03 2019-09-24) 14 days later decides the terminal value; not HLTH Corp
